kind,id,type_or_predicate,label_or_source,target,attrs
node,trace:country:mz,country,Mozambique,,"{""iso2"": ""MZ"", ""iso3"": ""MOZ"", ""degree"": 17}"
node,trace:country:pe,country,Peru,,"{""iso2"": ""PE"", ""iso3"": ""PER"", ""degree"": 17}"
node,trace:indicator:porb-0b143a272970,indicator,ICRISAT — HLO11.AOW3.IO4 (custom),,"{""assumption"": ""."", ""budget_usd"": 125000.0, ""center"": ""ICRISAT"", ""countries_of_implementation"": [""Uganda"", ""India"", ""Malawi"", ""Tanzania"", ""United Republic"", ""Bangladesh"", ""Pakistan"", ""Mali"", ""Kenya"", ""Zimbabwe"", ""Nigeria""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 10, ""degree"": 17}"
node,trace:indicator:porb-20f420b8f47b,indicator,IITA — HLO9.AOW2.IO2 (Number of innovations (innovation development)),,"{""assumption"": ""."", ""budget_usd"": 156879.0, ""center"": ""IITA"", ""countries_of_implementation"": [""Uganda"", ""Ghana"", ""Mozambique"", ""C\u00f4te d'Ivoire"", ""Rwanda"", ""Tanzania"", ""United Republic"", ""Zambia"", ""Kenya"", ""The Democratic Republic of the Congo"", ""Nigeria"", ""Sierra Leone""], ""kpi_type"": ""Number of innovations (innovation development)"", ""program_code"": ""SP01"", ""target"": 0, ""degree"": 17}"
node,trace:result:prms-24707,result,Determination of rice accession status using infochemical and visual cues emitted to sustainably control diopsis apicalis dalman,,"{""climate_tag_level"": ""Not targeted"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""AfricaRice"", ""n_countries"": 1, ""n_evidence"": 1, ""n_partners"": 3, ""nutrition_tag_level"": ""Not targeted"", ""poverty_tag_level"": ""Not targeted"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 21384, ""result_type"": ""Knowledge product"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""9cc77a2b-2559-4bd5-9f8d-07e8537cb397""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 17}"
node,trace:result:prms-25040,result,Market intelligence guided rice seed market segmentation and product design in Tanzania,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Significant"", ""is_krs"": false, ""lead_centre"": ""IRRI"", ""n_countries"": 1, ""n_evidence"": 3, ""n_partners"": 3, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Significant"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 21716, ""result_type"": ""Other outcome"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""685994c9-259c-4367-812e-5a67fc83f442""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 17}"
node,trace:result:prms-27330,result,Guest Lecture on Breeding strategies for forage improvement delivered by Alliance scientists to University of Nottingham students in England,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""Bioversity (Alliance)"", ""n_countries"": 1, ""n_evidence"": 1, ""n_partners"": 2, ""nutrition_tag_level"": ""Not targeted"", ""poverty_tag_level"": ""Not targeted"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 23991, ""result_type"": ""Capacity sharing for development"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""a537b7b6-892b-4125-97dd-ca024ba56bef""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 17}"
node,trace:kp:hdl-10568-174982,kp,Boosting livestock productivity and sustainability in East Africa: The role of forage seed systems,,"{""abstract"": ""Livestock farming plays a critical role in the economies of East African countries, with millions of people depending on cattle, goats and sheep for food, income and employment. However, despite the region's vast agricultural potential, livestock production faces a significant feed deficit - nearly 40% of the total ruminant feed demand is unmet annually. This challenge, compounded by climate change, is limiting the region's ability to maximize livestock productivity. Addressing this feed shortage is essential for improving food security, rural livelihoods and environmental sustainability."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""8e37f6e8-30c6-49c3-a05c-6ae0b0be2452"", ""countries"": [""Burundi"", ""Colombia"", ""Ethiopia"", ""Kenya"", ""Rwanda"", ""Tanzania"", ""Uganda""], ""donors"": [], ""from_cgspace"": true, ""handle"": ""10568/174982"", ""has_fulltext"": false, ""impact_areas"": [""Climate adaptation and mitigation"", ""Gender equality, youth and social inclusion"", ""Nutrition, health and food security"", ""Poverty reduction, livelihoods and jobs""], ""initiatives"": [""Accelerated Breeding"", ""Livestock and Climate"", ""Market Intelligence"", ""Sustainable Animal Productivity"", ""Mixed Farming Systems""], ""issued"": ""2025-02-13"", ""license"": ""CC-BY-4.0"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [], ""regions"": [""Africa"", ""Americas"", ""Eastern Africa"", ""Sub-Saharan Africa"", ""South America"", ""Latin America and the Caribbean""], ""sdgs"": [""SDG 1 - No poverty"", ""SDG 2 - Zero hunger"", ""SDG 10 - Reduce inequalities"", ""SDG 12 - Responsible production and consumption"", ""SDG 13 - Climate action""], ""subjects"": [""evaluation"", ""seed systems"", ""forage"", ""improved germplasm"", ""germoplasma mejorado"", ""sistema de semillas"", ""forraje"", ""ruminants"", ""rumiante"", ""nutrient deficiencies"", ""feeds"", ""deficiencia nutritiva""], ""title"": ""Boosting livestock productivity and sustainability in East Africa: The role of forage seed systems"", ""type"": ""Blog Post"", ""uri"": ""https://hdl.handle.net/10568/174982"", ""degree"": 17}"
node,trace:kp:hdl-10568-180669,kp,Innovation in Capacity Building: Season-Long Farmer Training,,"{""abstract"": ""A series of comprehensive training programs was implemented by the IRRI seed system team to enhance farmers\u2019 capacity in Direct-Seeded Rice (DSR) cultivation in Bangladesh. The initiative engaged 150 motivated farmers from Kishoreganj Upazila of Nilphamari district, combining hands-on demonstrations with continuous mentoring to promote practical learning and adoption. The training addressed key components of DSR, including land preparation, precision sowing and machinery operation, integrated weed management, efficient irrigation scheduling, balanced nutrient management, and systematic field monitoring and crop care. Continuous follow-up support through field visits and on-site demonstrations reinforced learning and facilitated real-time problem solving. The programs significantly strengthened farmers\u2019 technical skills and confidence to implement DSR practices effectively. Overall, the initiative contributed to improved management efficiency and laid the groundwork for sustainable productivity gains through wider adoption of climate-smart and resource-efficient rice production practices."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""40703394-8671-4ee5-b0b5-0e88729abd79"", ""countries"": [""Bangladesh""], ""donors"": [], ""from_cgspace"": true, ""handle"": ""10568/180669"", ""has_fulltext"": false, ""impact_areas"": [], ""initiatives"": [], ""issued"": ""2025"", ""license"": ""CC-BY-NC-SA-4.0"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [], ""publisher"": ""International Rice Research Institute"", ""regions"": [""Southern Asia""], ""review_status"": ""Internal Review"", ""sdgs"": [], ""subjects"": [""rice"", ""direct seeding"", ""capacity development"", ""training"", ""agricultural extension"", ""weed control"", ""nutrient management"", ""farm mechanization"", ""precision agriculture"", ""resource use efficiency"", ""climate-smart agriculture""], ""title"": ""Innovation in Capacity Building: Season-Long Farmer Training"", ""type"": ""Brief"", ""uri"": ""https://hdl.handle.net/10568/180669"", ""degree"": 17}"
node,trace:kp:hdl-10568-176231,kp,Are consumers willing to trade off sensory quality for health benefits? Experimental evidence from low glycemic index rice,,"{""abstract"": ""Diet-related non-communicable diseases (NCDs) disproportionately affect low- and middle-income countries, including Asia where milled rice is consumed as a staple food. Efforts to reduce NCD risks include the development of low glycemic index (GI) rice. However, the firmer texture associated with low-GI rice may hinder uptake in market segments where softer texture is preferred, such as in Southeast Asia. Little is known about consumers' valuation of low-GI rice and the tradeoff between health benefits and sensory quality. Since low-GI rice is a credence attribute, consumers need to be informed about its potential health benefits and this needs to be framed in the broader context of a healthy lifestyle. To understand this tradeoff, we conduct experimental auctions with 400 urban consumers in the Philippines to elicit sensory evaluation and willingness to pay (WTP) for low-GI rice and analyze the role of information and other factors through a double hurdle model. Compared with premium white rice as the benchmark, low-GI rice fetches lower sensory scores and is discounted by US\u00a213/kg. Healthy lifestyle information boosts WTP by US\u00a26/kg. WTP is positively associated with knowledge on Diabetes Type 2 and negatively with perceptions on the role of physical activity in preventing NCDs, underscoring the importance of communicating the complementary role of healthy eating and physical activity. These findings offer insights into key message framing in nutrition education programs and trait requirements for breeding programs to alleviate NCD risks through low-GI rice tailored to consumer requirements in the Global South."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""876d8c7b-fe29-4564-9bb3-47f9b155fd09"", ""countries"": [""China"", ""Bangladesh"", ""Philippines""], ""doi"": ""https://doi.org/10.1016/j.foodqual.2025.105676"", ""donors"": [""Ghent University Special Research Fund"", ""CGIAR Trust Fund"", ""CGIAR Better Diets and Nutrition Program""], ""from_cgspace"": true, ""handle"": ""10568/176231"", ""has_fulltext"": false, ""impact_areas"": [""Gender equality, youth and social inclusion""], ""initiatives"": [""Market Intelligence""], ""issued"": ""2025-12"", ""license"": ""CC-BY-NC-ND-4.0"", ""programs"": [""Better Diets and Nutrition"", ""Breeding for Tomorrow""], ""project_ids"": [], ""publisher"": ""Elsevier"", ""regions"": [""Asia"", ""Americas""], ""review_status"": ""Peer Review"", ""sdgs"": [], ""subjects"": [""glycaemia"", ""carbohydrates"", ""rice"", ""consumers"", ""consumer behaviour"", ""healthy diets"", ""non-communicable diseases"", ""food environment"", ""experimentation"", ""market intelligence""], ""title"": ""Are consumers willing to trade off sensory quality for health benefits? Experimental evidence from low glycemic index rice"", ""type"": ""Journal Article"", ""uri"": ""https://hdl.handle.net/10568/176231"", ""degree"": 17}"
node,trace:kp:hdl-10568-180626,kp,"Promotion, Scaling, and Market Positoning of Specialty Rice in Odisha",,"{""abstract"": ""The Specialty Rice Initiative was implemented to enhance farmer income, market integration, and varietal diversification through the promotion of high-value specialty rice varieties across selected production clusters. The program focused on aligning breeding outputs with consumer and market demand by integrating improved specialty rice varieties, quality seed availability, scientific crop management, and organized market linkages. On-farm demonstrations and varietal evaluations revealed the superior performance of selected specialty rice types in terms of yield stability, grain quality, and price realization compared to conventional varieties. Strengthening of local seed systems, including farmer-led seed production and institutional support, ensured timely access to quality seed and improved varietal adoption. The initiative also emphasized capacity building of farmers, extension personnel, and value-chain actors to improve post-harvest handling, quality assurance, and traceability. By fostering collaboration among research institutions, extension agencies, private actors, and farmer organizations, the program demonstrated a scalable pathway for integrating specialty rice into mainstream production systems, thereby contributing to income diversification, value addition, and sustainable growth of the rice sector."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""281a5449-dd57-440b-8652-da1a84973306"", ""countries"": [""India""], ""donors"": [], ""from_cgspace"": true, ""handle"": ""10568/180626"", ""has_fulltext"": false, ""impact_areas"": [], ""initiatives"": [], ""issued"": ""2025"", ""license"": ""CC-BY-NC-SA-4.0"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [], ""publisher"": ""International Rice Resesrch Institute"", ""regions"": [""Southern Asia""], ""review_status"": ""Internal Review"", ""sdgs"": [], ""subjects"": [""rice"", ""varieties"", ""diversification"", ""seed quality"", ""on-farm trials"", ""breeding decisions"", ""market demand"", ""supply balance"", ""value chains"", ""technology adoption""], ""title"": ""Promotion, Scaling, and Market Positoning of Specialty Rice in Odisha"", ""type"": ""Brief"", ""uri"": ""https://hdl.handle.net/10568/180626"", ""degree"": 17}"
node,trace:concept:l2-p-design,concept,Design,,"{""alt_labels"": [], ""definition"": ""Structural node: terms used at the design stage (P2) \u2014 theories of change, indicators, methods and data-collection design."", ""layer"": 2, ""pref_label"": ""Design"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-P-DESIGN"", ""degree"": 17}"
node,trace:concept:l2-0045,concept,Efficiency,,"{""alt_labels"": [], ""definition"": ""A measure of how economically resources/inputs (funds, expertise, time, etc.) are converted to results."", ""layer"": 2, ""pref_label"": ""Efficiency"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0045"", ""degree"": 17}"
node,trace:indicator:porb-0bf40ef469b4,indicator,CIAT (Alliance) — HLO18.AOW5.IO2 (custom),,"{""assumption"": ""."", ""budget_usd"": 50000.0, ""center"": ""CIAT (Alliance)"", ""countries_of_implementation"": [""Costa Rica"", ""India"", ""The Socialist Republic of Viet Nam"", ""China"", ""Guatemala"", ""Indonesia"", ""Cambodia"", ""Thailand"", ""Lao People's Democratic Republic"", ""El Salvador"", ""Panama""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 1, ""degree"": 16}"
node,trace:indicator:porb-4d0f22b0df2b,indicator,CIP — HLO15.AOW4.IO2 (custom),,"{""assumption"": ""."", ""budget_usd"": 22639.0, ""center"": ""CIP"", ""countries_of_implementation"": [""Ethiopia"", ""Nigeria"", ""Uganda"", ""Mozambique"", ""Malawi"", ""Tanzania"", ""United Republic""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 5, ""degree"": 16}"
node,trace:indicator:porb-d5e98da5e9dd,indicator,ICRISAT — HLO13.AOW3.IO5 (custom),,"{""assumption"": ""."", ""budget_usd"": 80000.0, ""center"": ""ICRISAT"", ""countries_of_implementation"": [""India"", ""Tanzania"", ""United Republic"", ""Kenya"", ""Uganda"", ""Mali"", ""Nigeria"", ""Malawi"", ""Pakistan"", ""Bangladesh""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 11, ""degree"": 16}"
node,trace:indicator:porb-26a4bf4a27df,indicator,IITA — HLO9.AOW2.IO2 (custom),,"{""assumption"": ""."", ""budget_usd"": 144304.0, ""center"": ""IITA"", ""countries_of_implementation"": [""Mozambique"", ""Kenya"", ""Uganda"", ""Tanzania"", ""United Republic"", ""C\u00f4te d'Ivoire"", ""The Democratic Republic of the Congo"", ""Sierra Leone"", ""Rwanda"", ""Ghana"", ""Nigeria""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 0, ""degree"": 16}"
node,trace:kp:hdl-10568-180663,kp,IRRI news,,"{""from_prms_evidence"": true, ""handle"": ""10568/180663"", ""uri"": ""https://hdl.handle.net/10568/180663"", ""abstract"": ""The Specialty Rice Baseline Study was conducted to establish a comprehensive understanding of production systems, seed use, varietal diversity, market access, and socio-economic conditions of farmers engaged in specialty rice cultivation. The study assessed existing farming practices, varietal awareness, seed sourcing mechanisms, input use, yield levels, and post-harvest handling, while also examining gender roles and institutional linkages within the specialty rice value chain. Results indicate limited adoption of improved specialty rice varieties, constrained access to quality seed, weak market linkages, and inadequate price incentives despite growing consumer demand. Farmers primarily relied on traditional practices and informal seed systems, resulting in yield gaps and inconsistent grain quality. The baseline further highlighted opportunities for income enhancement through varietal replacement, strengthened community-based seed systems, improved extension support, and organized market channels. Overall, the study provides a critical reference point for designing targeted interventions to improve productivity, value addition, and inclusiveness in specialty rice systems, while enabling effective monitoring of project outcomes over time."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""54798359-d819-4b8b-a052-62434b2e4341"", ""countries"": [""India""], ""donors"": [], ""from_cgspace"": true, ""has_fulltext"": false, ""impact_areas"": [], ""initiatives"": [], ""issued"": ""2025"", ""license"": ""CC-BY-NC-SA-4.0"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [], ""publisher"": ""International Rice Research Institute"", ""regions"": [""Southern Asia""], ""review_status"": ""Internal Review"", ""sdgs"": [], ""subjects"": [""rice"", ""farming systems"", ""varieties"", ""seed systems"", ""seed quality"", ""market access"", ""value chains"", ""keeping quality"", ""gender roles"", ""socioeconomics"", ""technology adoption""], ""title"": ""Promotion, Scaling, and Market Positoning of Specialty Rice in Odisha"", ""type"": ""Brief"", ""degree"": 16}"
node,trace:result:prms-27166,result,Forage evaluation protocol developed by Alliance of Bioversity and CIAT adopted by Zambia's Seed Control and Certification Institute for multi-site trials,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""Bioversity (Alliance)"", ""n_countries"": 1, ""n_evidence"": 3, ""n_partners"": 3, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Not targeted"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 23827, ""result_type"": ""Innovation use"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""592d18f1-d215-4fbd-975a-91aa6454e3b2""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 16}"
node,trace:result:prms-27516,result,Strengthening soybean seed value chains in Mozambique,,"{""climate_tag_level"": ""Not targeted"", ""environment_tag_level"": ""Not targeted"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""IITA"", ""n_countries"": 1, ""n_evidence"": 1, ""n_partners"": 3, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Principal"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 24177, ""result_type"": ""Other output"", ""status"": ""Quality Assessed"", ""year"": 2025, ""degree"": 16}"
node,trace:kp:hdl-10568-180465,kp,trace:kp:hdl-10568-180465,,"{""abstract"": ""Rice seed production offers an avenue to involve local entrepreneurs, particularly women, across the entire value chain through the Women-led Community-Based Rice Seed Entrepreneurship Model (WLCBRSEM). This study analyzes the primary actors within the WLCBRSEM value chain, comparing their value addition with that of conventional rice seed systems, while identifying key challenges. Market margins and value addition were calculated for each stakeholder using standard formulas. Results indicate that after harvest and initial processing, Seed Producer Groups (SPGs) sell seeds to the Seed Management Group (SMG) of the Executive Committee (EC) at BDT 35.0 per kg. The SMG then threshes, dries, sorts, and packages the seeds, producing Certified Seeds (CS) approved by the Seed Certification Agency (SCA), achieving up to 71.43% value addition before sale. These seeds are subsequently distributed to registered dealers, who add 5.33\u20139.33% value and sell them at BDT 82\u201385 per kg. SPGs retain a portion of seeds for the following season to maintain continuity. While the model enhances seed quality and empowers women, challenges such as lack of moisture meters and limited weather information constrain the WSPGs\u2019 efficiency."", ""access_rights"": ""Open Access"", ""cgspace_uuid"": ""01d08029-8c43-4e78-b955-36e9abab37f7"", ""countries"": [""Bangladesh""], ""donors"": [""CGIAR Trust Fund""], ""from_cgspace"": true, ""handle"": ""10568/180465"", ""has_fulltext"": true, ""impact_areas"": [], ""initiatives"": [], ""issued"": ""2026"", ""license"": ""CC-BY-NC-SA-4.0"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [], ""publisher"": ""International Rice Research Institute"", ""regions"": [""Southern Asia""], ""review_status"": ""Internal Review"", ""sdgs"": [], ""subjects"": [""rice"", ""seed production"", ""seed systems"", ""value chains"", ""women entrepreneurs"", ""community-based organizations"", ""seed certification"", ""keeping quality"", ""seed quality""], ""title"": ""Comprehensive Value Chain Analysis of Women-Led Community Based Rice Seed Entrepreneurship Model in Bangladesh"", ""type"": ""Brief"", ""uri"": ""https://hdl.handle.net/10568/180465"", ""degree"": 16}"
node,trace:concept:l2-p-core,concept,Core terms,,"{""alt_labels"": [], ""definition"": ""Structural node: cross-cutting core MELIAF terms that apply at every project stage (Lexicon 'CORE TERM' group)."", ""layer"": 2, ""pref_label"": ""Core terms"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-P-CORE"", ""degree"": 16}"
node,trace:concept:l2-0201,concept,Budget,,"{""alt_labels"": [], ""definition"": ""Detailed financial plan outlining income, resources, and spending for research activities and innovation implementation. Budgets include projected personnel, travel, capital, operational support, data collection, and publication costs, as well as any other planned expenses across a project lifecycle."", ""layer"": 2, ""pref_label"": ""Budget"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0201"", ""degree"": 16}"
node,trace:program:sp09,program,Scaling for Impact,,"{""code"": ""SP09"", ""porb_name"": ""Scaling for Impact"", ""is_focus_program"": false, ""portfolio"": ""CGIAR 2025-2030"", ""degree"": 15}"
node,trace:hlo:sp01-hlo3-aow1-io1,hlo,Design concepts,,"{""aow_code"": ""AOW01"", ""budget_basis"": ""sum of the PORB HLO-sheet rows of this HLO"", ""budget_usd"": 418093.0, ""centres"": [""CIAT (Alliance)"", ""CIMMYT"", ""CIP"", ""IFPRI"", ""IITA""], ""code"": ""HLO3.AOW1.IO1"", ""n_indicator_rows"": 7, ""program_code"": ""SP01"", ""degree"": 15}"
node,trace:country:kh,country,Cambodia,,"{""iso2"": ""KH"", ""iso3"": ""KHM"", ""degree"": 15}"
node,trace:country:bi,country,Burundi,,"{""iso2"": ""BI"", ""iso3"": ""BDI"", ""degree"": 15}"
node,trace:indicator:porb-a64bef5d0289,indicator,CIAT (Alliance) — HLO18.AOW5.IO2 (custom),,"{""assumption"": ""."", ""budget_usd"": 30000.0, ""center"": ""CIAT (Alliance)"", ""countries_of_implementation"": [""Indonesia"", ""Lao People's Democratic Republic"", ""Guatemala"", ""India"", ""Cambodia"", ""Panama"", ""El Salvador"", ""Costa Rica"", ""The Socialist Republic of Viet Nam"", ""Colombia"", ""China""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 12, ""degree"": 15}"
node,trace:indicator:porb-776c9c5a0b1d,indicator,CIMMYT — HLO19.AOW5.IO2 (Number of people trained (capacity sharing for development)),,"{""assumption"": ""."", ""budget_usd"": 58500.0, ""center"": ""CIMMYT"", ""countries_of_implementation"": [""Pakistan"", ""Uganda"", ""Bangladesh"", ""Tanzania"", ""United Republic"", ""India"", ""Mexico"", ""Ethiopia"", ""Kenya"", ""Nepal""], ""kpi_type"": ""Number of people trained (capacity sharing for development)"", ""program_code"": ""SP01"", ""target"": 40, ""degree"": 15}"
node,trace:indicator:porb-42824027c517,indicator,CIP — HLO15.AOW4.IO2 (custom),,"{""assumption"": ""."", ""budget_usd"": 22639.0, ""center"": ""CIP"", ""countries_of_implementation"": [""Malawi"", ""Uganda"", ""Nigeria"", ""Mozambique"", ""Tanzania"", ""United Republic"", ""Ethiopia"", ""Kenya"", ""Peru""], ""kpi_type"": ""custom"", ""program_code"": ""SP01"", ""target"": 8, ""degree"": 15}"
node,trace:indicator:porb-25d285c6e51c,indicator,IITA — HLO18.AOW5.IO2 (Number of people trained (capacity sharing for development)),,"{""assumption"": ""."", ""budget_usd"": 150000.0, ""center"": ""IITA"", ""countries_of_implementation"": [""Benin"", ""Zambia"", ""C\u00f4te d'Ivoire"", ""Ghana"", ""Tanzania"", ""United Republic"", ""The Democratic Republic of the Congo"", ""Uganda"", ""Nigeria""], ""kpi_type"": ""Number of people trained (capacity sharing for development)"", ""program_code"": ""SP01"", ""target"": 20, ""degree"": 15}"
node,trace:institution:clarisa-59,institution,Kenya Agricultural and Livestock Research Organization,,"{""acronym"": ""KALRO"", ""geographic_location"": ""Kenya"", ""matched"": true, ""matched_via"": ""clarisa name/acronym"", ""porb_name"": ""Kenya Agricultural and Livestock Research Organization"", ""hq_country_iso2"": ""KE"", ""institution_type"": ""Research organizations and universities National (NARS)"", ""is_cgiar_centre"": false, ""cgspace_name"": ""Kenya Agricultural and Livestock Research Organization"", ""degree"": 15}"
node,trace:result:prms-23367,result,Genome-edited rice varieties with enhanced nitrogen use efficiency developed by IRRI for improved yields in the Philippines,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""IRRI"", ""n_countries"": 1, ""n_evidence"": 2, ""n_partners"": 2, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Significant"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 13484, ""result_type"": ""Innovation development"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""6e07851f-5722-4dda-bbd5-e94a050f28b1""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 15}"
node,trace:result:prms-27496,result,CIMMYT fall armyworm-tolerant maize hybrids commercialized through private seed companies in Zambia,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Significant"", ""is_krs"": false, ""lead_centre"": ""CIMMYT"", ""n_countries"": 1, ""n_evidence"": 2, ""n_partners"": 4, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Significant"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 24157, ""result_type"": ""Other output"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""25b67d47-f572-4c90-ad01-d92794bf0a71"", ""61c95039-1c5c-4a11-9d98-aafff00d67b7""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 15}"
node,trace:kp:hdl-10568-175182,kp,trace:kp:hdl-10568-175182,,"{""access_rights"": ""Limited Access"", ""cgspace_uuid"": ""0bf4e7a3-ef92-4d38-b649-9ba8720ee3f0"", ""countries"": [""Ethiopia"", ""Rwanda"", ""Uganda""], ""doi"": ""https://doi.org/10.1016/j.agsy.2025.104351"", ""donors"": [""CGIAR Trust Fund""], ""from_cgspace"": true, ""handle"": ""10568/175182"", ""has_fulltext"": false, ""impact_areas"": [""Nutrition, health and food security""], ""initiatives"": [""Seed Equal""], ""issued"": ""2025-08"", ""license"": ""Copyrighted; all rights reserved"", ""programs"": [""Breeding for Tomorrow""], ""project_ids"": [""IFPRI - Innovation Policy and Scaling Unit""], ""publisher"": ""Elsevier"", ""regions"": [""Africa"", ""Sub-Saharan Africa"", ""Eastern Africa""], ""review_status"": ""Peer Review"", ""sdgs"": [], ""subjects"": [""development"", ""food security"", ""regulations"", ""rules"", ""seed systems""], ""title"": ""A comparative study of the legal and regulatory dimension of seed sector development in Sub-Saharan Africa using regulatory systems maps: The case of Ethiopia, Rwanda, and Uganda"", ""type"": ""Journal Article"", ""uri"": ""https://hdl.handle.net/10568/175182"", ""degree"": 15}"
